"[414.0, -14.0, 40, 131]","[0, 1, 0]"
"[562.0, -162.0, 292, 495]","[1, 0, 0]"
"[286.0, 114.0, 550, 40]","[0, 1, 0]"
"[258.0, 142.0, 405, 243]","[1, 0, 0]"
"[286.0, 114.0, 443, 586]","[0, 1, 0]"
"[410.0, -10.0, 356, 117]","[0, 0, 1]"
"[366.0, 34.0, 186, 68]","[0, 1, 0]"
"[410.0, -10.0, 254, 306]","[0, 0, 1]"
"[522.0, -122.0, 397, 264]","[0, 1, 0]"
"[466.0, -66.0, 403, 187]","[0, 0, 1]"
"[362.0, 38.0, 410, 271]","[1, 0, 0]"
"[282.0, 118.0, 559, 418]","[0, 0, 1]"
"[394.0, 6.0, 208, 250]","[0, 0, 1]"
"[314.0, 86.0, 439, 187]","[1, 0, 0]"
"[370.0, 30.0, 654, 306]","[1, 0, 0]"
"[434.0, -34.0, 211, 502]","[0, 1, 0]"
"[354.0, 46.0, 563, 362]","[1, 0, 0]"
"[446.0, -46.0, 327, 166]","[0, 0, 1]"
"[442.0, -42.0, 660, 19]","[0, 1, 0]"
"[570.0, -170.0, 423, 355]","[0, 1, 0]"
"[418.0, -18.0, 202, 208]","[0, 0, 1]"
"[482.0, -82.0, 336, 194]","[0, 0, 1]"
"[386.0, 14.0, 167, 425]","[0, 1, 0]"
"[286.0, 114.0, 550, 327]","[0, 1, 0]"
"[414.0, -14.0, 211, 530]","[0, 1, 0]"
"[190.0, 210.0, 142, 376]","[1, 0, 0]"
"[314.0, 86.0, 164, 103]","[0, 0, 1]"
"[522.0, -122.0, 320, 26]","[0, 1, 0]"
"[518.0, -118.0, 373, 229]","[0, 0, 1]"
"[370.0, 30.0, 186, 180]","[0, 0, 1]"
"[278.0, 122.0, 469, 481]","[0, 1, 0]"
"[618.0, -218.0, 453, 488]","[0, 1, 0]"
"[318.0, 82.0, 470, 124]","[1, 0, 0]"
"[418.0, -18.0, 203, 278]","[0, 0, 1]"
"[530.0, -130.0, 415, 159]","[0, 0, 1]"
"[474.0, -74.0, 367, 201]","[0, 0, 1]"
"[330.0, 70.0, 584, 236]","[0, 1, 0]"
"[422.0, -22.0, 298, 215]","[0, 0, 1]"
"[474.0, -74.0, 339, 551]","[0, 1, 0]"
"[374.0, 26.0, 588, 355]","[1, 0, 0]"
"[458.0, -58.0, 327, 187]","[0, 0, 1]"
"[438.0, -38.0, 210, 593]","[1, 0, 0]"
"[214.0, 186.0, 411, 306]","[1, 0, 0]"
"[414.0, -14.0, 40, 432]","[0, 1, 0]"
"[378.0, 22.0, 485, 117]","[1, 0, 0]"
"[378.0, 22.0, 546, 250]","[1, 0, 0]"
"[410.0, -10.0, 286, 96]","[0, 0, 1]"
"[418.0, -18.0, 261, 397]","[0, 1, 0]"
"[330.0, 70.0, 124, 271]","[0, 0, 1]"
"[390.0, 10.0, 304, 5]","[0, 1, 0]"
"[422.0, -22.0, 266, 509]","[0, 1, 0]"
"[406.0, -6.0, 88, 509]","[1, 0, 0]"
"[402.0, -2.0, 221, 530]","[0, 1, 0]"
"[346.0, 54.0, 144, 201]","[0, 0, 1]"
"[442.0, -42.0, 335, 292]","[0, 0, 1]"
"[338.0, 62.0, 591, 285]","[1, 0, 0]"
"[262.0, 138.0, 28, 145]","[0, 0, 1]"
"[374.0, 26.0, 479, 285]","[1, 0, 0]"
"[434.0, -34.0, 211, 593]","[0, 1, 0]"
"[370.0, 30.0, 64, 159]","[0, 0, 1]"
"[354.0, 46.0, 10, 376]","[0, 0, 1]"
"[378.0, 22.0, 649, 243]","[1, 0, 0]"
"[458.0, -58.0, 325, 194]","[0, 0, 1]"
"[406.0, -6.0, 650, 306]","[1, 0, 0]"
"[410.0, -10.0, 46, 600]","[0, 1, 0]"
"[382.0, 18.0, 60, 418]","[1, 0, 0]"
"[450.0, -50.0, 291, 187]","[0, 0, 1]"
"[506.0, -106.0, 345, 460]","[0, 1, 0]"
"[310.0, 90.0, 164, 96]","[0, 0, 1]"
"[402.0, -2.0, 279, 278]","[0, 0, 1]"
"[270.0, 130.0, 416, 439]","[0, 1, 0]"
"[266.0, 134.0, 692, 404]","[0, 0, 1]"
"[314.0, 86.0, 443, 299]","[1, 0, 0]"
"[246.0, 154.0, 414, 285]","[1, 0, 0]"
"[462.0, -62.0, 316, 299]","[0, 0, 1]"
"[346.0, 54.0, 584, 257]","[0, 1, 0]"
"[222.0, 178.0, 377, 376]","[1, 0, 0]"
"[382.0, 18.0, 8, 341]","[0, 0, 1]"
"[250.0, 150.0, 375, 222]","[1, 0, 0]"
"[362.0, 38.0, 478, 96]","[1, 0, 0]"
"[262.0, 138.0, 93, 166]","[0, 0, 1]"
"[358.0, 42.0, 499, 110]","[1, 0, 0]"
"[406.0, -6.0, 188, 166]","[0, 0, 1]"
"[466.0, -66.0, 95, 271]","[1, 0, 0]"
"[382.0, 18.0, 144, 264]","[0, 0, 1]"
"[414.0, -14.0, 40, 40]","[0, 1, 0]"
"[574.0, -174.0, 453, 222]","[0, 1, 0]"
"[330.0, 70.0, 655, 348]","[0, 1, 0]"
"[414.0, -14.0, 162, 376]","[0, 1, 0]"
"[418.0, -18.0, 43, 586]","[0, 1, 0]"
"[538.0, -138.0, 396, 264]","[0, 0, 1]"
"[386.0, 14.0, 325, 68]","[0, 0, 1]"
"[262.0, 138.0, 563, 390]","[0, 0, 1]"
"[258.0, 142.0, 374, 278]","[1, 0, 0]"
"[290.0, 110.0, 458, 495]","[0, 1, 0]"
"[394.0, 6.0, 252, 173]","[0, 0, 1]"
"[458.0, -58.0, 79, 404]","[1, 0, 0]"
"[362.0, 38.0, 460, 96]","[1, 0, 0]"
"[410.0, -10.0, 148, 537]","[0, 1, 0]"
"[422.0, -22.0, 254, 544]","[0, 1, 0]"
"[394.0, 6.0, 210, 180]","[0, 0, 1]"
"[394.0, 6.0, 589, 152]","[1, 0, 0]"
"[438.0, -38.0, 543, 173]","[1, 0, 0]"
"[318.0, 82.0, 124, 250]","[0, 0, 1]"
"[290.0, 110.0, 458, 586]","[0, 1, 0]"
"[446.0, -46.0, 153, 544]","[0, 1, 0]"
"[274.0, 126.0, 154, 285]","[0, 0, 1]"
"[346.0, 54.0, 393, 89]","[1, 0, 0]"
"[526.0, -126.0, 274, 404]","[0, 1, 0]"
